Id,Mid,BPM,,,MusicJson,Musician,Acceleration,AniID,BridgeAniID
3802,100038,92,0.25,368,Sonata in E Major,,,,
3803,100038,95,0.25,380,Sonata in E Major,,,,
3901,100039,100,0.25,400,Sonata in A Major K331,Mozart,,,
3902,100039,103,0.25,412,Sonata in A Major K331,,,,
3903,100039,105,0.25,420,Sonata in A Major K331,,,,
4001,100040,115,0.25,460,Hungarian Dance No.5,Johannes Brahms,,,
4002,100040,118,0.25,472,Hungarian Dance No.5,,,,
4003,100040,242,0.5,484,Hungarian Dance No.5,,,,
4101,100041,90,0.25,360,The Entertainer,Scott Joplin,,,
4102,100041,92,0.25,368,The Entertainer,,,,
4103,100041,95,0.25,380,The Entertainer,,,,
4201,100042,100,0.25,400,Santa Lucia,Italian Folk Music,,,
4202,100042,103,0.25,412,Santa Lucia,,,,
4203,100042,105,0.25,420,Santa Lucia,,,,
4301,100043,115,0.25,460,Horse Racing,Chinese Folk Music,,,
4302,100043,118,0.25,472,Horse Racing,,,,
4303,100043,242,0.5,484,Horse Racing,,,,
4401,100044,90,0.25,360,American Patrol,Frank Meacham,,,
4402,100044,92,0.25,368,American Patrol,,,,
4403,100044,95,0.25,380,American Patrol,,,,
4501,100045,100,0.25,400,Sonata No.34 - Finale,Haydn,,,
4502,100045,103,0.25,412,Sonata No.34 - Finale,,,,
4503,100045,105,0.25,420,Sonata No.34 - Finale,,,,
4601,100046,115,0.25,460,Polka,Joseph Kuffner,,,
4602,100046,118,0.25,472,Polka,,,,
4603,100046,121,0.25,484,Polka,,,,
4701,100047,200,0.5,400,Minuet No.3,Bach,,,
4702,100047,205,0.5,410,Minuet No.3,,,,
4703,100047,210,0.5,420,Minuet No.3,,,,
4801,100048,220,0.5,440,Radetzky March,Johann Strauss,,,
4802,100048,226,0.5,452,Radetzky March,,,,
4803,100048,231,0.5,462,Radetzky March,,,,
4901,100049,115,0.25,460,Carmen Overture,Bizet,,,
4902,100049,118,0.25,472,Carmen Overture,,,,
4903,100049,121,0.25,484,Carmen Overture,,,,
5001,100050,100,0.25,400,Invention No.13,Bach,,,
5002,100050,103,0.25,412,Invention No.13,,,,
5003,100050,105,0.25,420,Invention No.13,,,,
5101,100051,100,0.25,400,Sonatina Op.36-3,Clementi,,,
5102,100051,103,0.25,412,Sonatina Op.36-3,,,,
5103,100051,105,0.25,420,Sonatina Op.36-3,,,,
5201,100052,115,0.25,460,William Tell Overture,Gioachino Rossini,,,
5202,100052,118,0.25,472,William Tell Overture,,,,
5203,100052,121,0.25,484,William Tell Overture,,,,
5301,100057,120,0.5,240,Bridal Chorus,Wagner,,,
5302,100057,125,0.5,250,Bridal Chorus,,,,
5303,100057,130,0.5,260,Bridal Chorus,,,,
5401,100058,45,0.125,360,Humoresque No.7,Antonin Dvorak,,,
5402,100058,46,0.125,368,Humoresque No.7,,,,
5403,100058,47,0.125,376,Humoresque No.7,,,,
5501,100059,110,0.25,440,Moonlight Sonata Mvt.3,Beethoven,,,
5502,100059,113,0.25,452,Moonlight Sonata Mvt.3,,,,
5503,100059,116,0.25,464,Moonlight Sonata Mvt.3,,,,
5601,100060,150,0.5,300,Minuet in G,Bach,,,
5602,100060,165,0.5,330,Minuet in G,,,,
5603,100060,177,0.5,354,Minuet in G,,,,
5701,100061,90,0.25,360,Xinjiang Suite,Congfei Wei,,,
5702,100061,92,0.25,368,Xinjiang Suite,,,,
5703,100061,95,0.25,380,Xinjiang Suite,,,,
5801,100062,110,0.25,440,Fantaisie - Impromptu,Chopin,,,
5802,100062,113,0.25,452,Fantaisie - Impromptu,,,,
5803,100062,116,0.25,464,Fantaisie - Impromptu,,,,
5901,100063,75,0.25,300,Harmonious Blacksmith,Handel,,,
5902,100063,78,0.25,312,Harmonious Blacksmith,,,,
5903,100063,80,0.25,320,Harmonious Blacksmith,,,,
6001,100064,360,1,360,Liebestraum No.3,Franz Liszt,,,
6002,100064,369,1,369,Liebestraum No.3,,,,
6003,100064,378,1,378,Liebestraum No.3,,,,
6101,100065,100,0.25,400,Appassionata Mvt.3,Beethoven,,,
6102,100065,103,0.25,412,Appassionata Mvt.3,,,,
6103,100065,105,0.25,420,Appassionata Mvt.3,,,,
6201,100066,130,0.5,260,Four Seasons - Spring,Antonio Vivaldi,,,
6202,100066,142,0.5,284,Four Seasons - Spring,,,,
6203,100066,78,0.25,312,Four Seasons - Spring,,,,
6301,100067,180,0.5,360,La Campanella,Franz Liszt,,,
6302,100067,185,0.5,370,La Campanella,,,,
6303,100067,189,0.5,378,La Campanella,,,,
6401,100068,105,0.25,420,Solfeggietto,C.P.E.Bach,,,
6402,100068,107,0.25,428,Solfeggietto,,,,
6403,100068,110,0.25,440,Solfeggietto,,,,
6501,100069,100,0.5,200,A La Claire Fontaine,French Folk Music,,,
6502,100069,105,0.5,210,A La Claire Fontaine,,,,
6503,100069,110,0.5,220,A La Claire Fontaine,,,,
6601,100070,130,0.5,260,Simple Gifts,Joseph Brackett,,,
6602,100070,142,0.5,284,Simple Gifts,,,,
6603,100070,151,0.5,302,Simple Gifts,,,,
6701,100071,100,0.25,400,Hungarian Rhapsody No.6,Franz Liszt,,,
6702,100071,103,0.25,412,Hungarian Rhapsody No.6,,,,
6703,100071,105,0.25,420,Hungarian Rhapsody No.6,,,,
6801,100080,150,0.5,300,Sonata Pathetique Mvt.1,Beethoven,,,
6802,100080,165,0.5,330,Sonata Pathetique Mvt.1,,,,
6803,100080,177,0.5,354,Sonata Pathetique Mvt.1,,,,
6901,100081,180,0.5,360,Waltz in E minor,Chopin,,,
6902,100081,185,0.5,370,Waltz in E minor,,,,
6903,100081,189,0.5,378,Waltz in E minor,,,,
7001,100082,100,0.25,400,Clarinet Polka,Prohaska,,,
7002,100082,103,0.25,412,Clarinet Polka,,,,
7003,100082,105,0.25,420,Clarinet Polka,,,,
7101,100089,150,0.5,300,Lyric Waltz,Shostakovich,,,
7102,100089,165,0.5,330,Lyric Waltz,,,,
7103,100089,177,0.5,354,Lyric Waltz,,,,
7201,100085,100,0.25,400,Sonatina Op.88 No.3,Kuhlau,,,
7202,100085,103,0.25,412,Sonatina Op.88 No.3,,,,
7203,100085,105,0.25,420,Sonatina Op.88 No.3,,,,
7301,100090,100,0.25,400,Rondo A Capriccio Op.129,Beethoven,,,
7302,100090,103,0.25,412,Rondo A Capriccio Op.129,,,,
7303,100090,105,0.25,420,Rondo A Capriccio Op.129,,,,
7401,100103,280,1,280,The Skater's Waltz,Emil Waldteufel,,,
7402,100103,150,0.5,300,The Skater's Waltz,,,,
7403,100103,160,0.5,320,The Skater's Waltz,,,,
7501,100104,90,0.25,360,Breeze,Chinese Folk Music,,,
7502,100104,92,0.25,368,Breeze,,,,
7503,100104,95,0.25,380,Breeze,,,,
7601,100105,110,0.25,440,Etude de Virtuosite in E,Moszkowski,,,
7602,100105,113,0.25,452,Etude de Virtuosite in E,,,,
7603,100105,116,0.25,464,Etude de Virtuosite in E,,,,
7701,100112,260,1,260,Sweet Bye and Bye,Walter,,,
7702,100112,150,0.5,300,Sweet Bye and Bye,,,,
7703,100112,165,0.5,330,Sweet Bye and Bye,,,,
7801,100113,90,0.25,360,Allemande,Handel,,,
7802,100113,92,0.25,368,Allemande,,,,
7803,100113,95,0.25,380,Allemande,,,,
7901,100114,100,0.25,400,Goldberg Variations,Bach,,,
7902,100114,103,0.25,412,Goldberg Variations,,,,
7903,100114,105,0.25,420,Goldberg Variations,,,,
8001,100129,150,0.5,300,Tzigane Dance,Carl Bohm,,,
8002,100129,165,0.5,330,Tzigane Dance,,,,
8003,100129,177,0.5,354,Tzigane Dance,,,,
8101,100121,170,0.5,340,Sonata in F Major Mvt.3,Mozart,,,
8102,100121,177,0.5,354,Sonata in F Major Mvt.3,,,,
8103,100121,184,0.5,368,Sonata in F Major Mvt.3,,,,
8201,100122,90,0.25,360,Etude Op.10 No.8,Chopin,,,
8202,100122,93,0.25,372,Etude Op.10 No.8,,,,
8203,100122,95,0.25,380,Etude Op.10 No.8,,,,
8301,100130,160,0.5,320,Sonata in E minor Mvt.1,Haydn,,,
8302,100130,173,0.5,346,Sonata in E minor Mvt.1,,,,
8303,100130,182,0.5,364,Sonata in E minor Mvt.1,,,,
8401,100131,90,0.25,360,Knecht Ruprecht,Robert Schumann,,,
8402,100131,93,0.25,372,Knecht Ruprecht,,,,
8403,100131,95,0.25,380,Knecht Ruprecht,,,,
8501,100132,100,0.25,400,Sonatina Op.55 No.1,Kuhlau,,,
8502,100132,103,0.25,412,Sonatina Op.55 No.1,,,,
8503,100132,105,0.25,420,Sonatina Op.55 No.1,,,,
8601,100145,150,0.5,300,Etude Op.34 No.10,Shostakovich,,,
8602,100145,160,0.5,320,Etude Op.34 No.10,,,,
8603,100145,90,0.25,360,Etude Op.34 No.10,,,,
8701,100146,80,0.25,320,Fugue No.16 in G minor,Bach,,,
8702,100146,86,0.25,344,Fugue No.16 in G minor,,,,
8703,100146,91,0.25,364,Fugue No.16 in G minor,,,,
8801,100147,90,0.25,360,Sonata in D Major K284,Mozart,,,
8802,100147,92,0.25,368,Sonata in D Major K284,,,,
8803,100147,95,0.25,380,Sonata in D Major K284,,,,
8901,100148,240,1,240,Inventions No.15,Bach,,,
8902,100148,250,1,250,Inventions No.15,,,,
8903,100148,260,1,260,Inventions No.15,,,,
9001,100149,80,0.25,320,Etude Op.6 No.8,Franz Liszt,,,
9002,100149,86,0.25,344,Etude Op.6 No.8,,,,
9003,100149,91,0.25,364,Etude Op.6 No.8,,,,
9101,100150,48,0.125,384,Etude Op.849 No.16,Czerny,,,
9102,100150,49,0.125,392,Etude Op.849 No.16,,,,
9103,100150,51,0.125,408,Etude Op.849 No.16,,,,
9201,100157,145,0.5,290,Waltz No.16,Chopin,,,
9202,100157,154,0.5,308,Waltz No.16,,,,
9203,100157,160,0.5,320,Waltz No.16,,,,
9301,100158,160,0.5,320,WTC1 No.3,Bach,,,
9302,100158,166,0.5,332,WTC1 No.3,,,,
9303,100158,173,0.5,346,WTC1 No.3,,,,
9401,100159,90,0.25,360,Der Vogelfaenger bin ich ja,Mozart,,,
9402,100159,92,0.25,368,Der Vogelfaenger bin ich ja,,,,
9403,100159,95,0.25,380,Der Vogelfaenger bin ich ja,,,,
9501,100166,75,0.25,300,Carnaval Op.9 No.14,Robert Schumann,,,
9502,100166,78,0.25,312,Carnaval Op.9 No.14,,,,
9503,100166,80,0.25,320,Carnaval Op.9 No.14,,,,
9601,100167,170,0.5,340,Arabesque Op.76 No.9,Jean Sibelius,,,
9602,100167,177,0.5,354,Arabesque Op.76 No.9,,,,
9603,100167,184,0.5,368,Arabesque Op.76 No.9,,,,
9701,100168,140,0.5,280,Bagpipe Dance,Mozart,,,
9702,100168,150,0.5,300,Bagpipe Dance,,,,
9703,100168,160,0.5,320,Bagpipe Dance,,,,
9801,100178,120,0.5,240,The Happy Farmer,Robert Schumann,,,
9802,100178,127,0.5,254,The Happy Farmer,,,,
9803,100178,133,0.5,266,The Happy Farmer,,,,
9901,100179,78,0.25,312,Variations of Paganini,Berkovich,,,
9902,100179,81,0.25,324,Variations of Paganini,,,,
9903,100179,84,0.25,336,Variations of Paganini,,,,
10001,100180,90,0.25,360,Penguin's Game,Unknown,,,
10002,100180,92,0.25,368,Penguin's Game,,,,
10003,100180,95,0.25,380,Penguin's Game,,,,
10101,100184,300,1,300,The Wild Horseman,Robert Schumann,,,
10102,100184,315,1,315,The Wild Horseman,,,,
10103,100184,327,1,327,The Wild Horseman,,,,
10201,100185,300,1,300,Etude No.23,Cramer,,,
10202,100185,315,1,315,Etude No.23,,,,
10203,100185,327,1,327,Etude No.23,,,,
10301,100186,250,1,250,French Suite No.4-Gigue,Jacques Offenbach,,,
10302,100186,275,1,275,French Suite No.4-Gigue,,,,
10303,100186,295,1,295,French Suite No.4-Gigue,,,,
10401,100201,110,0.5,220,The Nightingale,Mikhail Glinka,,,
10402,100201,58,0.25,232,The Nightingale,,,,
10403,100201,125,0.5,250,The Nightingale,,,,
10501,100202,150,0.5,300,Gertrude's dream waltz,Beethoven,,,
10502,100202,158,0.5,316,Gertrude's dream waltz,,,,
10503,100202,164,0.5,328,Gertrude's dream waltz,,,,
10601,100203,150,0.5,300,Loure,Bach,,,
10602,100203,158,0.5,316,Loure,,,,
10603,100203,164,0.5,328,Loure,,,,
10701,100210,100,0.5,200,Craving for the Spring Wind,Yuxian Deng,,,
10702,100210,106,0.5,212,Craving for the Spring Wind,,,,
10703,100210,112,0.5,224,Craving for the Spring Wind,,,,
10801,100211,85,0.25,340,Neopolitan Dance,Tchaikovsky,,,
10802,100211,93,0.25,372,Neopolitan Dance,,,,
10803,100211,101,0.25,404,Neopolitan Dance,,,,
10901,100212,70,0.25,280,Sonata in C Major K330 Mvt.1,Mozart,,,
10902,100212,41,0.125,328,Sonata in C Major K330 Mvt.1,,,,
10903,100212,45,0.125,360,Sonata in C Major K330 Mvt.1,,,,
11001,100221,90,0.25,360,Album Leaf,Kirchner,,,
11002,100221,98,0.25,392,Album Leaf,,,,
11003,100221,106,0.25,424,Album Leaf,,,,
11101,100219,70,0.25,280,Invention No.2,Bach,,,
11102,100219,74,0.25,296,Invention No.2,,,,
11103,100219,78,0.25,312,Invention No.2,,,,
11201,100220,130,0.5,260,Hands Across The Sea,Sousa,,,
11202,100220,138,0.5,276,Hands Across The Sea,,,,
11203,100220,146,0.5,292,Hands Across The Sea,,,,
11301,100222,90,0.25,360,Moment Musical Op.94 No.4,Schubert,,,
11302,100222,92,0.25,368,Moment Musical Op.94 No.4,,,,
11303,100222,94,0.25,376,Moment Musical Op.94 No.4,,,,
11401,100223,100,0.25,400,Romanian Folk Dances No.6,Bela Bartok,,,
11402,100223,102,0.25,408,Romanian Folk Dances No.6,,,,
11403,100223,104,0.25,416,Romanian Folk Dances No.6,,,,
11501,100224,98,0.25,392,Prelude Op.12 No.7,Sergei Prokofiev,,,
11502,100224,100,0.25,400,Prelude Op.12 No.7,,,,
11503,100224,102,0.25,408,Prelude Op.12 No.7,,,,
11601,100232,72,0.25,288,Searchlight Rag,Scotte Joplin,,,
11602,100232,76,0.25,304,Searchlight Rag,,,,
11603,100232,80,0.25,320,Searchlight Rag,,,,
11701,100233,80,0.25,320,Bach Piano Concerto No.1,Bach,,,
11702,100233,84,0.25,336,Bach Piano Concerto No.1,,,,
11703,100233,88,0.25,352,Bach Piano Concerto No.1,,,,
11801,100231,60,0.125,480,3 Ecossaises Op.72 No.3,Chopin,,,
11802,100231,62,0.125,496,3 Ecossaises Op.72 No.3,,,,
11803,100231,64,0.125,512,3 Ecossaises Op.72 No.3,,,,
11901,100240,200,1,200,Walzer,FR.Bell,,,
11902,100240,216,1,216,Walzer,,,,
11903,100240,232,1,232,Walzer,,,,
12001,100241,86,0.25,344,Lively Spring Festival,Unknown,,,
12002,100241,88,0.25,352,Lively Spring Festival,,,,
12003,100241,90,0.25,360,Lively Spring Festival,,,,
12101,100242,90,0.25,360,Etude Op.740 No.31,Czerny,,,
12102,100242,94,0.25,376,Etude Op.740 No.31,,,,
12103,100242,98,0.25,392,Etude Op.740 No.31,,,,
12201,100252,150,0.5,300,Market,Gullit,,,
12202,100252,158,0.5,316,Market,,,,
12203,100252,166,0.5,332,Market,,,,
12301,100253,160,0.5,320,Melody,Robert Schumann,,,
12302,100253,168,0.5,336,Melody,,,,
12303,100253,176,0.5,352,Melody,,,,
12401,100254,160,0.5,320,Etude Op.37 No.29,H. Lemoine,,,
12402,100254,168,0.5,336,Etude Op.37 No.29,,,,
12403,100254,176,0.5,352,Etude Op.37 No.29,,,,
12501,100261,160,0.5,320,Carol of the Bells,Ukrainian Carol,,,
12502,100261,168,0.5,336,Carol of the Bells,,,,
12503,100261,176,0.5,352,Carol of the Bells,,,,
12601,100262,150,0.5,300,The Hebrides Overture,Mendelssohn,,,
12602,100262,158,0.5,316,The Hebrides Overture,,,,
12603,100262,166,0.5,332,The Hebrides Overture,,,,
12701,100263,140,0.5,280,Heather Rose,G. Lange,,,
12702,100263,144,0.5,288,Heather Rose,,,,
12703,100263,148,0.5,296,Heather Rose,,,,
12801,100264,150,0.5,300,"Home, Sweet home",Scotland Folk Music,,,
12802,100264,158,0.5,316,"Home, Sweet home",,,,
12803,100264,166,0.5,332,"Home, Sweet home",,,,
12901,100265,170,0.5,340,Mazurka Op.39 No.11,Tchaikovsky,,,
12902,100265,178,0.5,356,Mazurka Op.39 No.11,,,,
12903,100265,186,0.5,372,Mazurka Op.39 No.11,,,,
13001,100266,100,0.25,400,Palm Leaf Rag,Scott Joplin,,,
13002,100266,102,0.25,408,Palm Leaf Rag,,,,
13003,100266,104,0.25,416,Palm Leaf Rag,,,,
13101,100276,130,0.5,260,Old Folks at Home,American Folk Music,,,
13102,100276,138,0.5,276,Old Folks at Home,,,,
13103,100276,146,0.5,292,Old Folks at Home,,,,
13201,100277,150,0.5,300,Troika E Major,Tchaikovsky,,,
13202,100277,158,0.5,316,Troika E Major,,,,
13203,100277,166,0.5,332,Troika E Major,,,,
13301,100278,300,1,300,Hunting Song,Mendelssohn,,,
13302,100278,316,1,316,Hunting Song,,,,
13303,100278,332,1,332,Hunting Song,,,,
13401,100279,110,0.5,220,Fall,Clack Chen,,,
13402,100279,115,0.5,230,Fall,,,,
13403,100279,120,0.5,240,Fall,,,,
13501,100280,320,1,320,Romance,D. Auber,,,
13502,100280,330,1,330,Romance,,,,
13503,100280,340,1,340,Romance,,,,
13601,100281,210,0.5,420,Soldaten Marsch,Robert Schumann,,,
13602,100281,218,0.5,436,Soldaten Marsch,,,,
13603,100281,226,0.5,452,Soldaten Marsch,,,,
13701,100288,130,0.5,260,Non Piu Andrai,Mozart,,,
13702,100288,138,0.5,276,Non Piu Andrai,,,,
13703,100288,146,0.5,292,Non Piu Andrai,,,,
13801,100289,150,0.5,300,"Long, Long Ago",Thomas Haynes Bayly,,,
13802,100289,158,0.5,316,"Long, Long Ago",,,,
13803,100289,166,0.5,332,"Long, Long Ago",,,,
13901,100290,160,0.5,320,Rondo A Major,Johann Baptist Vanhal,,,
13902,100290,168,0.5,336,Rondo A Major,,,,
13903,100290,176,0.5,352,Rondo A Major,,,,
14001,100297,150,0.5,300,March from Norma,Vincenzo Bellini,,,
14002,100297,158,0.5,316,March from Norma,,,,
14003,100297,166,0.5,332,March from Norma,,,,
14101,100298,190,0.5,380,The music box,Ede Poldini,,,
14102,100298,198,0.5,396,The music box,,,,
14103,100298,206,0.5,412,The music box,,,,
14201,100299,260,1,260,Barcarolle d'Hoffmann,Jacques Offenbach,,,
14202,100299,276,1,276,Barcarolle d'Hoffmann,,,,
14203,100299,292,1,292,Barcarolle d'Hoffmann,,,,
14301,100306,150,0.5,300,Restless Galop,L. Streabbog,,,
14302,100306,158,0.5,316,Restless Galop,,,,
14303,100306,166,0.5,332,Restless Galop,,,,
14401,100307,150,0.5,300,Prelude in g minor BWV930,Bach,,,
14402,100307,158,0.5,316,Prelude in g minor BWV930,,,,
14403,100307,166,0.5,332,Prelude in g minor BWV930,,,,
14501,100308,100,0.25,400,Elite Syncopations,Scotte Joplin,,,
14502,100308,104,0.25,416,Elite Syncopations,,,,
14503,100308,108,0.25,432,Elite Syncopations,,,,
14601,100315,150,0.5,300,Andante from Orfeo ed Euridice,C.W.von.Gluck,,,
14602,100315,158,0.5,316,Andante from Orfeo ed Euridice,,,,
14603,100315,166,0.5,332,Andante from Orfeo ed Euridice,,,,
14701,100316,190,0.5,380,Magnetic Rag,Scott Joplin,,,
14702,100316,198,0.5,396,Magnetic Rag,,,,
14703,100316,206,0.5,412,Magnetic Rag,,,,
14801,100317,350,1,350,Starlight Waltz,C.S. Brainard,,,
14802,100317,366,1,366,Starlight Waltz,,,,
14803,100317,382,1,382,Starlight Waltz,,,,
14901,100324,130,0.5,260,Les Sylphes,Georges Bachmann,,,
14902,100324,138,0.5,276,Les Sylphes,,,,
14903,100324,146,0.5,292,Les Sylphes,,,,
15001,100325,280,1,280,Va pensiero,Giuseppe Verdi,,,
15002,100325,296,1,296,Va pensiero,,,,
15003,100325,312,1,312,Va pensiero,,,,
15101,100326,100,0.25,400,Wiener March,Czerny,,,
15102,100326,104,0.25,416,Wiener March,,,,
15103,100326,108,0.25,432,Wiener March,,,,
15201,100333,170,0.5,340,Emperor Waltz Op.437,Johann Strauss II,,,
15202,100333,178,0.5,356,Emperor Waltz Op.437,,,,
15203,100333,186,0.5,372,Emperor Waltz Op.437,,,,
15301,100334,270,1,270,Rondo allegretto Op.168 No.1,Diabelli,,,
15302,100334,286,1,286,Rondo allegretto Op.168 No.1,,,,
15303,100334,302,1,302,Rondo allegretto Op.168 No.1,,,,
15401,100335,300,1,300,Andante from Concerto No.21,Mozart,,,
15402,100335,316,1,316,Andante from Concerto No.21,,,,
15403,100335,332,1,332,Andante from Concerto No.21,,,,
15501,100345,80,0.25,320,Alles fuhlt der Liebe Freuden,Mozart,,,
